Pc,HPFTP_w,HPOTP_w,LPFTP_w,LPOTP_w,PBOBP_w,Pc_FPB,Pc_OPB,MFV_m,MOV_m,OPOV_m,FPOV_m,T_Nozzle_Cooling_exit,HGM_Temp,Man_OX_Temp,Man_H2_Temp,Man_MCC_COOL_Pres,HPFTP_p_pump_out,HPOTP_p_pump_out,LPFTP_p_pump_out,LPOTP_p_pump_out,PBOBP_p_pump_out,HPFTP_T_turb_inlet,HPOTP_T_turb_inlet,LPFTP_T_turb_inlet,LPOTP_T_turb_inlet
194.11,44159,27197,29088,4116,27197,374.79,348.32,74.196,379.6,12.109,32.449,235.5,674.89,108.18,62.133,219.36,412.026,293.735,34.1709,18.8465,545.963,944.278,609.721,412.692,105.135
193.04,44141,27133,29195,4109.3,27133,372.65,346.2,73.87,377.3,12.003,32.3,235.93,674.48,108.4,62.453,218.25,410.428,292.896,34.3466,18.872,544.008,948.912,608.009,407.847,105.335
194.34,44389,27420,29182,4154.7,27420,375.56,349.57,74.131,380.13,12.282,32.631,236.15,680.22,109.81,63.057,219.32,412.741,297.171,34.0773,19.0539,551.573,949.419,620.165,413.492,106.494
192.72,44093,27275,29001,4134.9,27275,372.52,346.34,74.159,375.5,12.065,32.168,234.13,670.61,110.69,61.989,217.63,409.988,293.847,33.9142,18.9719,545.362,933.024,608.419,415.228,107.306
195.78,44526,27400,29375,4148.7,27400,377.69,351.39,74.162,384.31,12.383,32.973,237.67,686.08,107.37,63.452,220.74,416.027,298.898,34.5764,19.0665,555.078,963.989,627.34,406.861,104.367
193.76,44426,27428,29123,4163.3,27428,376,349.11,74.583,376.99,12.244,32.692,234.46,676.21,110.62,62.745,218.92,414.305,297.912,34.0092,19.2153,551.353,943.089,615.727,412.492,107.192
192.37,44196,27160,29064,4117.7,27160,372.36,345.63,73.994,374.85,11.954,32.269,234.21,672.11,109.59,62.54,217.53,409.855,292.941,33.8854,18.9471,543.286,942.484,602.132,413.988,106.373
194.64,44209,27260,29111,4126.5,27260,375.69,349.99,74.163,381.17,12.188,32.589,235.7,678.12,107.84,62.335,220.09,412.432,295.492,34.1697,18.926,549.156,951.965,610.535,413.049,104.818
193.71,44133,27200,29138,4112.7,27200,373.38,347.19,73.792,379.59,12.09,32.3,236.65,676.41,108.89,62.447,218.77,410.516,292.244,34.2058,18.719,543.967,945.524,613.679,412.358,105.761
193.32,44069,27169,29181,4114.9,27169,372.94,346.56,73.901,378.11,12.088,32.215,236.26,674.17,108.38,62.175,218.58,409.989,293.624,34.4071,18.8999,545.646,941.447,616.494,407.513,105.309
193.96,44018,27117,29003,4096.3,27117,372.97,347.14,73.553,381.24,12.052,32.182,236.37,676.39,107.49,62.143,218.85,410.141,291.439,33.9831,18.626,543.496,942.732,610.488,419.062,104.564
193.92,44319,27297,29176,4131.9,27297,374.52,348.6,73.944,379.48,12.138,32.574,236.62,679.3,109.33,62.96,219.05,412.2,294.512,34.122,18.8835,547.106,955.898,610.095,412.702,106.115
194.02,44081,27146,29107,4108.5,27146,373.83,347.64,74.23,379.36,12.048,32.356,234.99,672.54,107.72,61.864,218.92,411.322,293.335,34.3113,18.8391,545.416,944.234,604.877,410.775,104.737
193.88,44382,27216,29254,4123.4,27216,375.28,347.82,74.254,378.48,12.111,32.658,235.86,677.29,108.31,62.924,219.09,413.609,294.874,34.3509,18.9699,546.868,951.632,613.228,407.359,105.236
192.47,44141,27123,29257,4112.1,27123,371.74,345.11,73.929,375.4,11.961,32.239,236.19,672.54,108.81,62.475,217.57,409.851,293.129,34.4826,18.9583,543.769,948.243,607.082,403.841,105.691
191.54,43984,27145,29014,4111.7,27145,370.27,344.08,74.186,372.06,11.832,31.975,234.13,664.83,111.73,61.75,216.53,406.898,289.518,33.9387,18.7496,537.498,934.502,592.333,411.485,108.256
194.72,44158,27253,29239,4129.5,27253,375.85,349.06,74.631,380.17,12.229,32.531,235.42,673.71,107.73,61.815,219.92,413.155,296.334,34.7004,19.0349,550.089,941.141,619.821,403.081,104.711
193.21,44342,27309,29210,4144.2,27309,374.81,347.62,74.584,375.47,12.119,32.585,234.66,673.27,110.27,62.553,218.52,412.924,295.815,34.2918,19.1219,547.498,945.069,610.474,405.903,106.918
193.62,44233,27221,29090,4129.3,27221,374.58,347.69,74.376,377.51,12.106,32.468,235.13,673.3,108.3,62.25,218.68,412.578,296.031,34.1098,19.1073,548.778,940.666,609.722,412.194,105.215
194.32,44076,27183,29071,4112.3,27183,374.3,348.38,73.633,381.93,12.188,32.302,236.6,679.04,106.92,62.273,219.64,411.194,294.543,34.1453,18.8509,548.398,943.283,621.268,415.592,104.031
194.58,44375,27270,29123,4131.4,27270,376.19,349.38,74.327,380.43,12.183,32.703,235.44,678.06,107.83,62.763,219.58,413.915,296.407,34.0391,19.024,550.078,948.806,612.009,414.764,104.795
193.78,44107,27292,29187,4127.6,27292,372.85,347.13,73.94,379.4,12.139,32.231,236.24,674.82,110.03,62.3,218.37,409.885,292.891,34.356,18.7549,545.258,942.184,616.201,409.913,106.743
195.44,44404,27288,29246,4126.3,27288,377.11,350.38,74.106,383.65,12.276,32.794,236.82,682.81,107.24,63.065,220.57,414.417,295.8,34.325,18.8573,550.129,955.426,622.071,411.347,104.285
193.53,44114,27084,28989,4103.6,27084,374.01,347.05,74.225,377.75,11.997,32.343,234.42,671.54,107.24,61.934,218.71,411.343,293.59,33.9387,18.9327,545.09,938.528,602.791,415.852,104.322
193,44168,27251,29113,4131.7,27251,373.16,346.66,74.08,376.48,12.094,32.285,235.31,673.41,109.68,62.342,218.11,410.732,294.608,34.1281,19.011,546.592,939.263,613.095,411.269,106.428
